Author Name,Title,Year,Cited By,Subject of Study,Research Method
Noam Chomsky,Fondamenti biologici del linguaggio: con appendici [La natura formale del linguaggio] di Noam Chomsky e [Storia delle basi biologiche del linguaggio di] Otto Marx,1971,86,Unknown Subject,Unknown Method
Noam Chomsky,Piratas y emperadores,2004,85,Unknown Subject,Unknown Method
Noam Chomsky,Strukturen der Syntax,2011,84,Unknown Subject,Unknown Method
Noam Chomsky,Novos horizontes no estudo da linguagem,1997,84,Unknown Subject,Unknown Method
Noam Chomsky,Notas sobre o anarquismo,2023,83,Unknown Subject,Unknown Method
Noam Chomsky,Why only us: Recent questions and answers,2017,83,Language,Unknown Method
Noam Chomsky,Demokrasi ve eğitim,2007,82,Unknown Subject,Unknown Method
Noam Chomsky,Letters from Lexington: Reflections on propaganda,2004,82,Unknown Subject,Unknown Method
Noam Chomsky,La nueva sintaxis: teoría de la rección y el ligamiento,1988,82,Language,Theoretical
Noam Chomsky,""" Human rights"" and American foreign policy",1978,82,Unknown Subject,Unknown Method
Noam Chomsky,"Syntactic structures (the hague: Mouton, 1957)",1957,82,Unknown Subject,Unknown Method
Noam Chomsky,Medya halka nasıl evet dedirtir,1999,81,Unknown Subject,Unknown Method
Noam Chomsky,A minoria próspera ea multidão inquieta,1996,81,Unknown Subject,Unknown Method
Noam Chomsky,The Amherst Lectures,1975,81,Unknown Subject,Unknown Method
Noam Chomsky,Año 501: La conquista continúa,1993,80,Unknown Subject,Unknown Method
Noam Chomsky,Lectures on government and binding. Dordrecht: Foris.. 1982. Some concepts and consequences of the theory of government and binding,1981,80,Unknown Subject,Unknown Method
Noam Chomsky,La fabrique de l'opinion publique: la politique économique des médias américains: essai,2003,79,Unknown Subject,Unknown Method
Noam Chomsky,Profit over people: Neoliberalismus und globale Weltordnung,2001,79,Unknown Subject,Unknown Method
Noam Chomsky,Language and problems of knowledge,1997,79,Language,Unknown Method
Noam Chomsky,2002,1957,78,Unknown Subject,Unknown Method
Noam Chomsky,Los dilemas de la dominación,2004,76,Unknown Subject,Unknown Method
Noam Chomsky,La propaganda,2005,75,Unknown Subject,Unknown Method
Noam Chomsky,A note on non-control PRO,1981,75,Unknown Subject,Unknown Method
Noam Chomsky,Market democracy in a neoliberal order: Doctrines and reality,1997,74,Unknown Subject,Unknown Method
