Author Name,ORCID ID,Title,DOI,Year,Citations,Research Method
Simon J. Greenhill,http://orcid.org/0000-0001-7832-6156,Language Phylogenies: Modelling the evolution of language.,10.31235/osf.io/fxem5,2023,0,Survey
István Jánk,http://orcid.org/0000-0003-1327-6412,Hungarian as a minority and majority language in different language policy contexts,10.1080/14664208.2023.2256069,2023,2,Unknown Method
Szilvia Rási,http://orcid.org/0000-0001-7353-8504,Hungarian as a minority and majority language in different language policy contexts,10.1080/14664208.2023.2256069,2023,2,Unknown Method
Shu-Kun Lin,http://orcid.org/0000-0002-2427-540X,Social Sciences and Sustainability,10.3390/socsci1010001,2011,7,Unknown Method
Lisa M. Rasmussen,http://orcid.org/0000-0001-9339-0770,Authorship agreements benefit researchers and research culture,10.1038/s41562-023-01758-8,2023,0,Unknown Method
George Banks,No ORCID,Authorship agreements benefit researchers and research culture,10.1038/s41562-023-01758-8,2023,0,Unknown Method
Elise Demeter,http://orcid.org/0000-0001-5993-1692,Authorship agreements benefit researchers and research culture,10.1038/s41562-023-01758-8,2023,0,Unknown Method
Holly D. Holladay-Sandidge,http://orcid.org/0000-0001-5709-1431,Authorship agreements benefit researchers and research culture,10.1038/s41562-023-01758-8,2023,0,Unknown Method
Andrew McBride,No ORCID,Authorship agreements benefit researchers and research culture,10.1038/s41562-023-01758-8,2023,0,Unknown Method
Katherine Hall-Hertel,No ORCID,Authorship agreements benefit researchers and research culture,10.1038/s41562-023-01758-8,2023,0,Unknown Method
Scott Tonidandel,http://orcid.org/0000-0003-1520-8288,Authorship agreements benefit researchers and research culture,10.1038/s41562-023-01758-8,2023,0,Unknown Method
Michael Weinhardt,http://orcid.org/0000-0002-4928-3852,Big Data: Some Ethical Concerns for the Social Sciences,10.3390/socsci10020036,2021,7,Unknown Method
Delfín Ortega-Sánchez,http://orcid.org/0000-0002-0988-4821,The End-Purpose of Teaching Social Sciences and the Curricular Inclusion of Social Problems,10.3390/socsci11010012,2021,0,Unknown Method
Bill McClanahan,No ORCID,Green Criminology for Social Sciences: Introduction to the Special Issue,10.3390/socsci9100170,2020,3,Unknown Method
Avi Brisman,http://orcid.org/0000-0001-5794-0210,Green Criminology for Social Sciences: Introduction to the Special Issue,10.3390/socsci9100170,2020,3,Unknown Method
Xingtang Wang,No ORCID,"Vertical product differentiation, managerial delegation and social welfare in a vertically-related market",10.1016/j.mathsocsci.2021.06.001,2021,14,Unknown Method
Leonard F.S. Wang,http://orcid.org/0000-0001-5202-2867,"Vertical product differentiation, managerial delegation and social welfare in a vertically-related market",10.1016/j.mathsocsci.2021.06.001,2021,14,Unknown Method
Tamás Kristóf,http://orcid.org/0000-0003-2805-4900,The Story of Futures Studies: An Interdisciplinary Field Rooted in Social Sciences,10.3390/socsci12030192,2023,5,Theoretical
Erzsébet Nováky,No ORCID,The Story of Futures Studies: An Interdisciplinary Field Rooted in Social Sciences,10.3390/socsci12030192,2023,5,Theoretical
Álvaro-Francisco Morote,http://orcid.org/0000-0003-2438-4961,What Do School Children Know about Climate Change? A Social Sciences Approach,10.3390/socsci11040179,2022,13,Survey
María Hernández,http://orcid.org/0000-0002-8823-0083,What Do School Children Know about Climate Change? A Social Sciences Approach,10.3390/socsci11040179,2022,13,Survey
Thomas Tufte,http://orcid.org/0000-0003-3253-8481,Unlearning Communication for Social Change—A Pedagogical Proposition,10.3390/socsci13070335,2024,0,Unknown Method
Tina Patel,http://orcid.org/0000-0002-2578-3393,"Race/Ethnicity, Crime and Social Control: An Introduction",10.3390/socsci7120271,2018,2,Unknown Method
Greg Melleuish,http://orcid.org/0000-0002-9140-4582,"Democracy, Liberalism and the Challenge of Social Solidarity",10.3390/socsci7070110,2018,2,Unknown Method
Aneta Pachura,http://orcid.org/0000-0003-3505-8934,Modelling of Cross-Organisational Cooperation for Social Entrepreneurship,10.3390/socsci10060201,2021,3,Case study
Cyrille Laporte,http://orcid.org/0000-0003-4154-4410,Social Times of Cooks in France,10.3390/socsci11030109,2022,0,Unknown Method
Jens Thoemmes,http://orcid.org/0000-0001-8679-7425,Social Times of Cooks in France,10.3390/socsci11030109,2022,0,Unknown Method
Diego Luna,http://orcid.org/0000-0002-5432-8285,Conflicting Knowledge Paradigms: Competence Discourse and Disciplinary Reality in Social Sciences Teaching,10.3390/socsci11120553,2022,0,"Qualitative, Quantitative, Case study"
José Antonio Pineda-Alfonso,http://orcid.org/0000-0002-6379-5686,Conflicting Knowledge Paradigms: Competence Discourse and Disciplinary Reality in Social Sciences Teaching,10.3390/socsci11120553,2022,0,"Qualitative, Quantitative, Case study"
Thomas Calvard,http://orcid.org/0000-0002-9631-6258,Integrating Social Scientific Perspectives on the Quantified Employee Self,10.3390/socsci8090262,2019,7,Theoretical
Marcos R. Fernandes,http://orcid.org/0000-0001-9632-6627,Confirmation bias in social networks,10.1016/j.mathsocsci.2023.02.007,2023,5,Unknown Method
Katharina Nieswandt,http://orcid.org/0000-0003-1663-0667,Instrumental Rationality in the Social Sciences,10.1177/00483931231181930,2023,2,Unknown Method
Beatriz Revelles-Benavente,No ORCID,Feminist New Materialisms: Activating Ethico-Politics through Genealogies in Social Sciences,10.3390/socsci8110296,2019,2,Unknown Method
Waltraud Ernst,http://orcid.org/0000-0002-1891-3540,Feminist New Materialisms: Activating Ethico-Politics through Genealogies in Social Sciences,10.3390/socsci8110296,2019,2,Unknown Method
Monika Rogowska-Stangret,http://orcid.org/0000-0002-8317-8562,Feminist New Materialisms: Activating Ethico-Politics through Genealogies in Social Sciences,10.3390/socsci8110296,2019,2,Unknown Method
Rita Carrilho,http://orcid.org/0000-0003-1394-6973,Social Workers’ Involvement in Policy Practice in Portugal,10.3390/socsci12020105,2023,2,"Quantitative, Survey"
Francisco Branco,http://orcid.org/0000-0003-0075-792X,Social Workers’ Involvement in Policy Practice in Portugal,10.3390/socsci12020105,2023,2,"Quantitative, Survey"
Hans Vanoorbeek,http://orcid.org/0000-0003-1208-5796,How Social Identity Affects Entrepreneurs’ Desire for Control,10.3390/socsci11010007,2021,0,Unknown Method
Laura Lecluyse,No ORCID,How Social Identity Affects Entrepreneurs’ Desire for Control,10.3390/socsci11010007,2021,0,Unknown Method
Sylvia Beyer,http://orcid.org/0000-0001-5697-7636,College Students’ Political Attitudes Affect Negative Stereotypes about Social Groups,10.3390/socsci11080321,2022,0,Unknown Method
Bora Ly,http://orcid.org/0000-0001-7396-6189,Social media and political involvement in Cambodia,10.1080/23311886.2023.2194565,2023,4,Unknown Method
Ганна Давиденко,http://orcid.org/0000-0002-6893-8869,Inclusive education: experience and perspectives,10.58521/978-966-924-433-8-2017-216,2017,0,Unknown Method
Андрій Безносюк,http://orcid.org/0000-0003-1158-5721,Inclusive education: experience and perspectives,10.58521/978-966-924-433-8-2017-216,2017,0,Unknown Method
 ,No ORCID,Inclusive education: experience and perspectives,10.58521/978-966-924-433-8-2017-216,2017,0,Unknown Method
Тетяна Євась,http://orcid.org/0000-0002-9637-7341,Inclusive education: experience and perspectives,10.58521/978-966-924-433-8-2017-216,2017,0,Unknown Method
 ,No ORCID,Inclusive education: experience and perspectives,10.58521/978-966-924-433-8-2017-216,2017,0,Unknown Method
Наталія Костенко,http://orcid.org/0000-0002-6810-9104,Inclusive education: experience and perspectives,10.58521/978-966-924-433-8-2017-216,2017,0,Unknown Method
 ,No ORCID,Inclusive education: experience and perspectives,10.58521/978-966-924-433-8-2017-216,2017,0,Unknown Method
Олена Омельченко,http://orcid.org/0000-0002-5121-0222,Inclusive education: experience and perspectives,10.58521/978-966-924-433-8-2017-216,2017,0,Unknown Method
 ,No ORCID,Inclusive education: experience and perspectives,10.58521/978-966-924-433-8-2017-216,2017,0,Unknown Method
Вадим Швед,http://orcid.org/0000-0001-5497-0975,Inclusive education: experience and perspectives,10.58521/978-966-924-433-8-2017-216,2017,0,Unknown Method
 ,No ORCID,Inclusive education: experience and perspectives,10.58521/978-966-924-433-8-2017-216,2017,0,Unknown Method
Світлана Ілініч,http://orcid.org/0000-0003-4130-7933,Inclusive education: experience and perspectives,10.58521/978-966-924-433-8-2017-216,2017,0,Unknown Method
 ,No ORCID,Inclusive education: experience and perspectives,10.58521/978-966-924-433-8-2017-216,2017,0,Unknown Method
Олександра Куц,http://orcid.org/0000-0002-7483-2155,Inclusive education: experience and perspectives,10.58521/978-966-924-433-8-2017-216,2017,0,Unknown Method
 ,No ORCID,Inclusive education: experience and perspectives,10.58521/978-966-924-433-8-2017-216,2017,0,Unknown Method
Олеся Балахонова,http://orcid.org/0000-0002-1447-4560,Inclusive education: experience and perspectives,10.58521/978-966-924-433-8-2017-216,2017,0,Unknown Method
 ,No ORCID,Inclusive education: experience and perspectives,10.58521/978-966-924-433-8-2017-216,2017,0,Unknown Method
Ганна Давиденко,http://orcid.org/0000-0002-6893-8869,Inclusive education: experience and perspectives,10.58521/978-966-924-433-8-2017-216,2017,0,Unknown Method
 ,No ORCID,Inclusive education: experience and perspectives,10.58521/978-966-924-433-8-2017-216,2017,0,Unknown Method
Ольга Жукова,http://orcid.org/0000-0001-8751-5071,Inclusive education: experience and perspectives,10.58521/978-966-924-433-8-2017-216,2017,0,Unknown Method
 ,No ORCID,Inclusive education: experience and perspectives,10.58521/978-966-924-433-8-2017-216,2017,0,Unknown Method
Олеся Олійник,http://orcid.org/0000-0002-4883-2055,Inclusive education: experience and perspectives,10.58521/978-966-924-433-8-2017-216,2017,0,Unknown Method
 ,No ORCID,Inclusive education: experience and perspectives,10.58521/978-966-924-433-8-2017-216,2017,0,Unknown Method
Вікторія Оленич,http://orcid.org/0000-0002-3413-7908,Inclusive education: experience and perspectives,10.58521/978-966-924-433-8-2017-216,2017,0,Unknown Method
 ,No ORCID,Inclusive education: experience and perspectives,10.58521/978-966-924-433-8-2017-216,2017,0,Unknown Method
 ,No ORCID,Barriers and Facilitators of the Outpatient Health Service Use by the Elderly,10.32598/sija.15.3.551.3,2020,6,Unknown Method
Neda Soleimanvandi Azar,http://orcid.org/0000-0002-9840-5588,Barriers and Facilitators of the Outpatient Health Service Use by the Elderly,10.32598/sija.15.3.551.3,2020,6,Unknown Method
Seyed Hossein Mohaqeqi Kamal,http://orcid.org/0000-0003-2550-7898,Barriers and Facilitators of the Outpatient Health Service Use by the Elderly,10.32598/sija.15.3.551.3,2020,6,Unknown Method
 ,No ORCID,Barriers and Facilitators of the Outpatient Health Service Use by the Elderly,10.32598/sija.15.3.551.3,2020,6,Unknown Method
Homeira Sajadi,http://orcid.org/0000-0003-1761-9283,Barriers and Facilitators of the Outpatient Health Service Use by the Elderly,10.32598/sija.15.3.551.3,2020,6,Unknown Method
 ,No ORCID,Barriers and Facilitators of the Outpatient Health Service Use by the Elderly,10.32598/sija.15.3.551.3,2020,6,Unknown Method
Gholam Reza Ghaedamini Harouni,http://orcid.org/0000-0003-1197-5068,Barriers and Facilitators of the Outpatient Health Service Use by the Elderly,10.32598/sija.15.3.551.3,2020,6,Unknown Method
 ,No ORCID,Barriers and Facilitators of the Outpatient Health Service Use by the Elderly,10.32598/sija.15.3.551.3,2020,6,Unknown Method
Salaheddin Karimi,http://orcid.org/0000-0002-1542-0214,Barriers and Facilitators of the Outpatient Health Service Use by the Elderly,10.32598/sija.15.3.551.3,2020,6,Unknown Method
 ,No ORCID,Barriers and Facilitators of the Outpatient Health Service Use by the Elderly,10.32598/sija.15.3.551.3,2020,6,Unknown Method
Ameneh Setareh Foroozan,http://orcid.org/0000-0001-9668-1389,Barriers and Facilitators of the Outpatient Health Service Use by the Elderly,10.32598/sija.15.3.551.3,2020,6,Unknown Method
 ,No ORCID,Barriers and Facilitators of the Outpatient Health Service Use by the Elderly,10.32598/sija.15.3.551.3,2020,6,Unknown Method
Rasmus Karlsson,http://orcid.org/0000-0002-1291-5254,Learning in the Anthropocene,10.3390/socsci10060233,2021,1,Unknown Method
Jonas Hedlund,http://orcid.org/0000-0001-9125-6519,Signaling through Bayesian persuasion,10.1016/j.mathsocsci.2024.08.002,2024,0,Unknown Method
Michelle Newcomb,http://orcid.org/0000-0001-9899-5576,When Teacher Becomes Student: Unveiling Contradictions within Australian Social Work Education,10.3390/socsci8060174,2019,6,Unknown Method
Rosa Maria Fanelli,http://orcid.org/0000-0002-0873-6077,"Seeking Gastronomic, Healthy, and Social Experiences in Tuscan Agritourism Facilities",10.3390/socsci9010002,2019,14,Unknown Method
Juliana España Keller,http://orcid.org/0000-0002-6044-6253,The Sonic Intra-Face of a Noisy Feminist Social Kitchen,10.3390/socsci8090245,2019,3,Unknown Method
Ionel N. Sava,http://orcid.org/0000-0001-6896-754X,Social Distancing Impact on Higher Education during COVID-19 Lockdown,10.3390/socsci11090419,2022,3,Survey
Sylvia Beyer,http://orcid.org/0000-0001-5697-7636,Relation between College Students’ Conservatism and Negative Stereotypes about Social Groups,10.3390/socsci9120224,2020,7,Unknown Method
Catherine Greene,http://orcid.org/0000-0002-9425-2000,"Nomadic Concepts, Variable Choice, and the Social Sciences",10.1177/0048393119878783,2019,5,Unknown Method
Angelo Panno,http://orcid.org/0000-0002-6516-161X,Social Dominance and Attitude towards Immigrants: The Key Role of Happiness,10.3390/socsci7080126,2018,9,Survey
Daniela Bubboloni,http://orcid.org/0000-0002-1639-9525,Resolute refinements of social choice correspondences,10.1016/j.mathsocsci.2016.08.007,2016,7,Unknown Method
Michele Gori,http://orcid.org/0000-0003-3274-041X,Resolute refinements of social choice correspondences,10.1016/j.mathsocsci.2016.08.007,2016,7,Unknown Method
Siyanda Dlamini,http://orcid.org/0000-0002-1110-8418,Community police forums` future and legitimacy: Redefining good community policing,10.1080/23311886.2023.2288019,2023,0,Unknown Method
Krzysztof Goniewicz,http://orcid.org/0000-0003-4368-6850,Maintaining Social Distancing during the COVID-19 Outbreak,10.3390/socsci10010014,2021,14,Unknown Method
Amir Khorram-Manesh,http://orcid.org/0000-0002-2734-5733,Maintaining Social Distancing during the COVID-19 Outbreak,10.3390/socsci10010014,2021,14,Unknown Method
Donggyu Kim,http://orcid.org/0000-0002-9226-7065,"Social Media Affordances of Ephemerality and Permanence: Social Comparison, Self-Esteem, and Body Image Concerns",10.3390/socsci12020087,2023,4,Survey
Soomin Kim,No ORCID,"Social Media Affordances of Ephemerality and Permanence: Social Comparison, Self-Esteem, and Body Image Concerns",10.3390/socsci12020087,2023,4,Survey
Nigel Ashmore Parton,http://orcid.org/0000-0002-0317-7237,Into the Second Decade,10.3390/socsci13020084,2024,0,Unknown Method
David Rozado,http://orcid.org/0000-0001-6849-4746,The Political Biases of ChatGPT,10.3390/socsci12030148,2023,79,Unknown Method
Rod Missaghian,http://orcid.org/0000-0002-3771-3712,Social Capital and Post-Secondary Decision-Making Alignment for Low-Income Students,10.3390/socsci10030083,2021,4,Unknown Method
Leena Haanpää,http://orcid.org/0000-0001-7626-8060,"Social Relationships, Child Poverty, and Children’s Life Satisfaction",10.3390/socsci8020035,2019,17,Survey
Mirka Kuula,No ORCID,"Social Relationships, Child Poverty, and Children’s Life Satisfaction",10.3390/socsci8020035,2019,17,Survey
Mia Hakovirta,http://orcid.org/0000-0002-0947-3985,"Social Relationships, Child Poverty, and Children’s Life Satisfaction",10.3390/socsci8020035,2019,17,Survey
Timothy Sands,http://orcid.org/0000-0002-4681-7919,Strategies for Combating Islamic State,10.3390/socsci5030039,2016,7,Unknown Method
Ulrich Herb,http://orcid.org/0000-0002-3500-3119,Journal Ratings &amp;amp; Rankings in the Social Sciences &amp;amp; Humanities,10.59350/cnxpm-aej38,2020,0,Unknown Method
Jonas Ahlskog,http://orcid.org/0000-0002-3311-654X,Peter Winch and the Autonomy of the Social Sciences,10.1177/00483931211070772,2022,2,Unknown Method
Aimée X. Delaney,http://orcid.org/0000-0002-4458-6547,Socio-Cultural Contexts for Normative Gender Violence: Pathways of Risk for Intimate Partner Violence,10.3390/socsci12070378,2023,1,Theoretical
Betina Lopes,http://orcid.org/0000-0003-0669-1650,Unveiling ‘European’ and ‘International’ Researcher Identities: A Case Study with Doctoral Students in the Humanities and Social Sciences,10.3390/socsci8110303,2019,1,"Qualitative, Case study"
Mónica Lourenço,http://orcid.org/0000-0002-8124-2452,Unveiling ‘European’ and ‘International’ Researcher Identities: A Case Study with Doctoral Students in the Humanities and Social Sciences,10.3390/socsci8110303,2019,1,"Qualitative, Case study"
Helen Barton,No ORCID,Social Capital and Prosocial Behavior among German Children,10.3390/socsci9110215,2020,5,Unknown Method
Jared Thorpe,No ORCID,Social Capital and Prosocial Behavior among German Children,10.3390/socsci9110215,2020,5,Unknown Method
Mikaela Dufur,http://orcid.org/0000-0001-9310-0438,Social Capital and Prosocial Behavior among German Children,10.3390/socsci9110215,2020,5,Unknown Method
Ruiyang Su,No ORCID,Relational utility and social norms in games,10.1016/j.mathsocsci.2023.12.001,2024,1,Unknown Method
Bryce Morsky,http://orcid.org/0000-0003-3608-1634,Relational utility and social norms in games,10.1016/j.mathsocsci.2023.12.001,2024,1,Unknown Method
Pooja Sawrikar,http://orcid.org/0000-0002-4296-1657,Introduction to Special Issue on Personal Essays in Social Science,10.3390/socsci8120325,2019,3,Unknown Method
Donna McAuliffe,http://orcid.org/0000-0002-6584-0540,Introduction to Special Issue on Personal Essays in Social Science,10.3390/socsci8120325,2019,3,Unknown Method
Roman Zakharenko,http://orcid.org/0000-0002-8791-2146,Nothing else matters: Evolution of preference for social prestige,10.1016/j.mathsocsci.2016.02.002,2016,3,Unknown Method
Araceli Galiano-Coronil,http://orcid.org/0000-0003-2270-0924,The Use of Social Digital Networks by NGDO from a Social Marketing Perspective,10.3390/socsci8060192,2019,5,Unknown Method
Juan José MierTerán-Franco,No ORCID,The Use of Social Digital Networks by NGDO from a Social Marketing Perspective,10.3390/socsci8060192,2019,5,Unknown Method
Macpherson Uchenna Nnam,http://orcid.org/0000-0001-7299-0160,Social injustice and public perception of Biafra social movements in the South East Nigeria,10.1080/23311886.2024.2363488,2024,0,Unknown Method
Islam Habis Mohammad Hatamleh,No ORCID,The Role of Social Media Motivation in Enhancing Social Responsibility,10.3390/socsci13080409,2024,0,Quantitative
Rahima Aissani,http://orcid.org/0000-0003-4666-9386,The Role of Social Media Motivation in Enhancing Social Responsibility,10.3390/socsci13080409,2024,0,Quantitative
Raneem Farouq Suleiman Alduwairi,No ORCID,The Role of Social Media Motivation in Enhancing Social Responsibility,10.3390/socsci13080409,2024,0,Quantitative
Anita Pipere,http://orcid.org/0000-0003-2238-7026,Metamodernism and Social Sciences: Scoping the Future,10.3390/socsci11100457,2022,6,Theoretical
Kristīne Mārtinsone,No ORCID,Metamodernism and Social Sciences: Scoping the Future,10.3390/socsci11100457,2022,6,Theoretical
Jill Bradbury,http://orcid.org/0000-0001-9696-9956,Learning to Resist and Resisting Learning,10.3390/socsci11070277,2022,1,Experiment
Alireza Behtoui,No ORCID,Compensatory School Effects and Social Capital,10.3390/socsci9110193,2020,7,Unknown Method
Isabella Strömberg,http://orcid.org/0000-0001-7560-4106,Compensatory School Effects and Social Capital,10.3390/socsci9110193,2020,7,Unknown Method
Patricia L. Brougham,http://orcid.org/0000-0003-3267-5101,Risk for Researchers Studying Social Deviance or Criminal Behavior,10.3390/socsci6040130,2017,9,Survey
Clarissa M. Uttley,No ORCID,Risk for Researchers Studying Social Deviance or Criminal Behavior,10.3390/socsci6040130,2017,9,Survey
Lyusyena Kirakosyan,http://orcid.org/0000-0002-0965-7688,Negotiating Multiple Identities of Brazilian Paralympians,10.3390/socsci10080305,2021,3,Unknown Method
Lorenzo Stanca,http://orcid.org/0000-0002-1220-0291,Robust Bayesian choice,10.1016/j.mathsocsci.2023.10.002,2023,0,Unknown Method
Muhammad Ali Khalidi,http://orcid.org/0009-0002-2652-8463,Historical Kinds in the Social World,10.1177/00483931241228906,2024,0,Unknown Method
José Baptista,No ORCID,Social Representations of Trans People in the Workplace,10.3390/socsci12080449,2023,4,Unknown Method
Dália Costa,No ORCID,Social Representations of Trans People in the Workplace,10.3390/socsci12080449,2023,4,Unknown Method
Sónia P. Gonçalves,http://orcid.org/0000-0003-3704-2995,Social Representations of Trans People in the Workplace,10.3390/socsci12080449,2023,4,Unknown Method
Thomas Cochrane,No ORCID,Implementing a Mobile Social Media Framework for Designing Creative Pedagogies,10.3390/socsci3030359,2014,25,Unknown Method
Laurent Antonczak,http://orcid.org/0000-0002-1154-3524,Implementing a Mobile Social Media Framework for Designing Creative Pedagogies,10.3390/socsci3030359,2014,25,Unknown Method
Olga Magano,http://orcid.org/0000-0001-9661-6261,Antigypsyism in Portugal: Expressions of Hate and Racism in Social Networks,10.3390/socsci12090511,2023,2,Qualitative
Tânia D’Oliveira,No ORCID,Antigypsyism in Portugal: Expressions of Hate and Racism in Social Networks,10.3390/socsci12090511,2023,2,Qualitative
Komalsingh Rambaree,http://orcid.org/0000-0003-0886-7402,Digitalization of Critical Reflection with ATLAS.ti Software in Social Work Supervision,10.3390/socsci10030095,2021,3,Theoretical
Nessica Nässén,No ORCID,Digitalization of Critical Reflection with ATLAS.ti Software in Social Work Supervision,10.3390/socsci10030095,2021,3,Theoretical
John Matthews,http://orcid.org/0000-0001-8669-3327,Southern African Social Work Students’ Acceptance of Rape Myths,10.3390/socsci7090152,2018,2,Unknown Method
Lisa Avery,No ORCID,Southern African Social Work Students’ Acceptance of Rape Myths,10.3390/socsci7090152,2018,2,Unknown Method
Johanna Nashandi,No ORCID,Southern African Social Work Students’ Acceptance of Rape Myths,10.3390/socsci7090152,2018,2,Unknown Method
Rebecca Maymon,No ORCID,A Review of First-Year Student Stress and Social Support,10.3390/socsci10120472,2021,16,Unknown Method
Nathan C. Hall,http://orcid.org/0000-0002-9734-2562,A Review of First-Year Student Stress and Social Support,10.3390/socsci10120472,2021,16,Unknown Method
Michael Pervarah,http://orcid.org/0000-0003-3831-8922,"Social differentiation, farming systems, and agrarian change in rural Ghana",10.1080/23311886.2024.2302215,2024,2,Unknown Method
Mamobo Ogoro,http://orcid.org/0000-0002-0775-0563,Cultural Identity in Bicultural Young Adults in Ireland: A Social Representation Theory Approach,10.3390/socsci11060230,2022,4,Theoretical
Anca Minescu,http://orcid.org/0000-0002-9992-9287,Cultural Identity in Bicultural Young Adults in Ireland: A Social Representation Theory Approach,10.3390/socsci11060230,2022,4,Theoretical
Mairead Moriarty,No ORCID,Cultural Identity in Bicultural Young Adults in Ireland: A Social Representation Theory Approach,10.3390/socsci11060230,2022,4,Theoretical
Viola Thimm,http://orcid.org/0000-0003-0203-8136,Muslim Mobilities and Gender: An Introduction,10.3390/socsci7010005,2017,4,Unknown Method
Kazumasa Yamada,http://orcid.org/0000-0002-7884-9050,An Acquaintance with An Aging Society,10.3390/socsci8040110,2019,4,Unknown Method
Douglas Davies,http://orcid.org/0000-0003-2666-158X,"Afterword: Play, Personhood and Digital Mortality",10.3390/socsci13080384,2024,0,Unknown Method
Juan P. Tobar L,http://orcid.org/0000-0002-8528-7519,"Social movements, relative deprivation and cellular automata",10.1080/23311886.2022.2053268,2022,1,Unknown Method
Herve Moulin,http://orcid.org/0000-0003-3358-6290,Consistent bilateral assignment,10.1016/j.mathsocsci.2016.09.004,2017,1,Unknown Method
Nigel de Noronha,http://orcid.org/0000-0003-1074-6095,Structural Disadvantage in Housing Opportunities,10.3390/socsci13090460,2024,0,Unknown Method
Justus Henke,http://orcid.org/0000-0001-5978-7344,Can Citizen Science in the Humanities and Social Sciences Deliver on the Sustainability Goals?,10.20944/preprints202206.0264.v2,2022,0,Unknown Method
Justus Henke,http://orcid.org/0000-0001-5978-7344,Can Citizen Science in the Humanities and Social Sciences Deliver on the Sustainability Goals?,10.20944/preprints202206.0264.v3,2022,0,Unknown Method
Abdulrahman Essa Al Lily,http://orcid.org/0000-0002-5116-422X,Sexmentality,10.1080/23311886.2022.2100183,2022,0,Unknown Method
Justus Henke,http://orcid.org/0000-0001-5978-7344,Can Citizen Science in the Humanities and Social Sciences Deliver on the Sustainability Goals?,10.20944/preprints202206.0264.v1,2022,1,Unknown Method
Tzung-Ruei Tsou,http://orcid.org/0000-0002-1451-6548,Diverse Social Mobility Trajectories: Portrait of Children of New Immigrants in Taiwan,10.3390/socsci12040226,2023,0,Survey
 ,No ORCID,Machine Learning Diagnosis of Dengue Fever: A Cost-Effective Approach for Early Detection and Treatment,10.61801/ouaess.2023.1.29,2023,0,Unknown Method
Hamzat Salami,http://orcid.org/0009-0006-3593-1755,Machine Learning Diagnosis of Dengue Fever: A Cost-Effective Approach for Early Detection and Treatment,10.61801/ouaess.2023.1.29,2023,0,Unknown Method
Joy Eleojo Ebeh,http://orcid.org/0000-0003-3732-2831,Machine Learning Diagnosis of Dengue Fever: A Cost-Effective Approach for Early Detection and Treatment,10.61801/ouaess.2023.1.29,2023,0,Unknown Method
 ,No ORCID,Machine Learning Diagnosis of Dengue Fever: A Cost-Effective Approach for Early Detection and Treatment,10.61801/ouaess.2023.1.29,2023,0,Unknown Method
Yakubu Ojo Aminu,http://orcid.org/0000-0001-7330-947X,Machine Learning Diagnosis of Dengue Fever: A Cost-Effective Approach for Early Detection and Treatment,10.61801/ouaess.2023.1.29,2023,0,Unknown Method
 ,No ORCID,Machine Learning Diagnosis of Dengue Fever: A Cost-Effective Approach for Early Detection and Treatment,10.61801/ouaess.2023.1.29,2023,0,Unknown Method
Michelle Fine,http://orcid.org/0000-0001-5941-7247,Foreword: Narrative Convictions in “Revolting” Times,10.3390/socsci11080355,2022,0,Unknown Method
Dirk Konietzka,http://orcid.org/0000-0002-9729-1902,The Spatial Dimension of Social Stratification in Germany—Are Social Class Differentials in Place of Residence Increasing?,10.3390/socsci12060326,2023,0,Unknown Method
Yevgeniy Martynovych,No ORCID,The Spatial Dimension of Social Stratification in Germany—Are Social Class Differentials in Place of Residence Increasing?,10.3390/socsci12060326,2023,0,Unknown Method
Pavel Brazhnikov,http://orcid.org/0000-0001-6321-6464,Social Systems: Resources and Strategies,10.20944/preprints201710.0044.v1,2017,2,Theoretical
Sarah May Lindsay,http://orcid.org/0000-0002-1969-7456,The “Problem” of Multispecies Families: Speciesism in Emergency Intimate Partner Violence (IPV) Shelters,10.3390/socsci11060242,2022,1,Qualitative
Derek Layder,http://orcid.org/0000-0002-3815-3147,"Social sciences, social reality and the false division between theory and method: some implications for social research",10.1007/s43545-020-00052-y,2021,7,Unknown Method
Kostas Alexandridis,http://orcid.org/0000-0002-5728-3430,Assessing Cognitive and Social Attitudes toward Environmental Conservation in Coral Reef Social-Ecological Systems,10.3390/socsci7070109,2018,1,Experiment
Teodora Jovanović,http://orcid.org/0000-0001-5439-8446,"Formal Education of Asylum Seeker Children in Belgrade, Serbia: Expanded Meaning of Social Inclusion",10.3390/socsci8070211,2019,5,Unknown Method
Marc Fleurbaey,No ORCID,"Social rationality, separability, and equity under uncertainty",10.1016/j.mathsocsci.2014.10.004,2015,16,Unknown Method
Thibault Gajdos,No ORCID,"Social rationality, separability, and equity under uncertainty",10.1016/j.mathsocsci.2014.10.004,2015,16,Unknown Method
Stéphane Zuber,http://orcid.org/0000-0002-4111-2397,"Social rationality, separability, and equity under uncertainty",10.1016/j.mathsocsci.2014.10.004,2015,16,Unknown Method
İrem Enser,http://orcid.org/0000-0002-3967-8076,Corporate social responsibility communication strategies of hotel companies,10.1080/23311886.2024.2392020,2024,0,Unknown Method
Ebru Günlü Küçükaltan,No ORCID,Corporate social responsibility communication strategies of hotel companies,10.1080/23311886.2024.2392020,2024,0,Unknown Method
Christine Morley,No ORCID,Critical Reflection: An Imperative Skill for Social Work Practice in Neoliberal Organisations?,10.3390/socsci10030097,2021,10,Unknown Method
Charlie O’Bree,http://orcid.org/0000-0002-6096-7462,Critical Reflection: An Imperative Skill for Social Work Practice in Neoliberal Organisations?,10.3390/socsci10030097,2021,10,Unknown Method
